"Хаб";"Плюсы";"Закладки";"Комментарии";"Просмотры"
"Разработка мобильных приложений";"20";"21";"2";"3600"
"Разработка веб-сайтов";"70";"222";"10";"23300"
"Веб-аналитика";"5";"7";"0";"1300"
"Офисы IT-компаний";"18";"64";"7";"10200"
"Визуализация данных";"51";"135";"18";"21300"
"Яндекс API";"17";"21";"23";"4500"
"Управление персоналом";"58";"136";"55";"27500"
"Искусственный интеллект";"17";"21";"23";"4500"
"Java";"172";"388";"91";"60900"
"Ненормальное программирование";"92";"163";"31";"27100"
"DevOps";"47";"111";"8";"16000"
"Учебный процесс в IT";"116";"330";"100";"80900"
"Анализ и проектирование систем";"42";"64";"14";"8600"
"Высокая производительность";"24";"58";"10";"10800"
"API";"10";"19";"0";"1700"
"Тестирование мобильных приложений";"43";"135";"12";"21000"
"Big Data";"19";"121";"4";"19400"
"Клиентская оптимизация";"17";"131";"5";"10100"
"Системы сборки";"17";"131";"5";"10100"
"C#";"153";"209";"62";"36600"
"Canvas";"23";"35";"10";"7800"
"GitHub";"17";"76";"4";"8500"
"Конференции";"137";"167";"61";"27034"
"Управление разработкой";"97";"283";"191";"60000"
"Распределённые системы";"25";"30";"9";"3100"
"Интерфейсы";"29";"33";"25";"6600"
"Параллельное программирование";"29";"60";"2";"8600"
"Карьера в IT-индустрии";"78";"100";"86";"27400"
"JavaScript";"58";"215";"10";"20900"
"Visual Studio";"11";"12";"3";"2100"
"Хакатоны";"76";"67";"70";"18000"
"Блог компании Контур";"966";"2207";"592";"386834"
"Flutter";"12";"12";"2";"2100"
".NET";"122";"144";"45";"26900"
"Информационная безопасность";"70";"63";"31";"14700"
"IT-инфраструктура";"28";"100";"8";"13500"
"Разработка игр";"57";"65";"48";"17900"
"Scala";"19";"121";"4";"19400"
"Криптография";"70";"63";"31";"14700"
"Серверная оптимизация";"6";"29";"2";"5100"
"Dart";"12";"12";"2";"2100"
"Управление проектами";"65";"189";"186";"41300"
"Управление продуктом";"84";"213";"186";"45500"
"Open source";"36";"87";"4";"11000"
"Компиляторы";"56";"99";"33";"16700"
"Программирование";"284";"644";"131";"98800"
"Тестирование IT-систем";"135";"484";"38";"71300"
"Алгоритмы";"99";"210";"49";"26400"
"IT-компании";"28";"50";"58";"9300"
"Спортивное программирование";"92";"163";"31";"27100"
"Промышленное программирование";"28";"100";"8";"13500"
"Графический дизайн";"20";"32";"9";"7600"
"Go";"19";"11";"0";"2500"
"ReactJS";"17";"45";"5";"6200"
"Тестирование веб-сервисов";"241";"731";"233";"122400"
"Аналитика мобильных приложений";"11";"32";"0";"6300"
"Функциональное программирование";"30";"33";"10";"7900"
"Веб-дизайн";"20";"32";"9";"7600"
